                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 2.2158,                  3.312,                 3.4851,                      0,                      0,                      0,                      0,                 1.7052,                 3.6459,                  3.238,               0.070698,              0.0032558,              0.0032558
                      2,                0.89642,                 2.0973,                 2.4343,                0.02502,                0.29381,                0.05112,                0.01857,                0.70453,                 3.0714,                 2.8085,               0.040681,              0.0065728,              0.0065728
                      3,                0.71118,                 1.8394,                 2.2529,                0.04297,                0.22433,                0.03114,                0.01004,                0.70322,                 2.1516,                  2.566,               0.010649,              0.0098734,              0.0098734
                      4,                0.66471,                 1.6867,                 2.1233,                0.01939,                0.12311,                0.01301,                0.00286,                 0.8774,                 2.1003,                 3.0561,              0.0099258,              0.0099258,              0.0099258
                      5,                0.63745,                 1.5929,                 2.0383,                0.27672,                0.41162,                 0.2882,                 0.0973,                0.54935,                 1.5356,                 2.0979,               0.009901,               0.009901,               0.009901
                      6,                0.58994,                 1.5156,                 1.8737,                0.21326,                0.49739,                0.33392,                0.13318,                 0.5094,                 1.6164,                 2.0344,              0.0098763,              0.0098763,              0.0098763
                      7,                0.54158,                 1.4426,                 1.7835,                0.27666,                0.59708,                0.38593,                0.14591,                0.47562,                 1.3804,                 1.9277,              0.0098515,              0.0098515,              0.0098515
                      8,                0.51262,                 1.3073,                 1.7121,                 0.2732,                 0.3974,                0.20912,                0.06486,                0.60121,                 1.5367,                 2.2893,              0.0098268,              0.0098268,              0.0098268
                      9,                0.48719,                 1.3272,                 1.6731,                0.37844,                0.60351,                0.48644,                 0.1969,                0.45833,                 1.3366,                 1.8708,               0.009802,               0.009802,               0.009802
                     10,                 0.4844,                 1.2592,                 1.6434,                0.50141,                0.56462,                0.54744,                0.19612,                0.44176,                 1.2823,                 1.8151,              0.0097773,              0.0097773,              0.0097773
                     11,                0.46623,                 1.1824,                 1.5875,                 0.4946,                0.47547,                0.47065,                0.21375,                0.46316,                 1.3856,                 1.8528,              0.0097525,              0.0097525,              0.0097525
                     12,                0.46254,                 1.1898,                 1.5904,                0.44664,                0.66656,                0.59525,                0.24707,                0.43954,                 1.0991,                 1.7896,              0.0097278,              0.0097278,              0.0097278
                     13,                0.45177,                 1.1084,                  1.531,                0.57287,                0.62452,                0.61551,                0.25063,                 0.4131,                 1.0399,                 1.6854,               0.009703,               0.009703,               0.009703
                     14,                0.45546,                 1.0934,                 1.5063,                0.65977,                0.46334,                 0.5611,                 0.2402,                0.41062,                 1.1631,                 1.6668,              0.0096783,              0.0096783,              0.0096783
                     15,                 0.4204,                 1.0505,                 1.4866,                0.62234,                0.62463,                0.68668,                0.29156,                0.38878,                 1.2345,                 1.6301,              0.0096535,              0.0096535,              0.0096535
                     16,                0.42223,                 1.0132,                 1.4873,                 0.7213,                0.61441,                0.70665,                0.23236,                0.44399,                 0.9683,                 1.7413,              0.0096288,              0.0096288,              0.0096288
                     17,                0.40442,                0.97426,                 1.4429,                0.59641,                0.65205,                0.67769,                0.29276,                0.38529,                 1.0853,                 1.6166,               0.009604,               0.009604,               0.009604
                     18,                0.39939,                0.97657,                 1.4071,                0.57082,                  0.681,                0.70084,                0.30983,                0.37521,                0.95659,                 1.5867,              0.0095793,              0.0095793,              0.0095793
                     19,                0.41261,                0.90071,                 1.4554,                0.71228,                0.62633,                0.70397,                0.21761,                0.47507,                0.86589,                 1.7921,              0.0095545,              0.0095545,              0.0095545
                     20,                0.40381,                0.94748,                  1.407,                 0.7375,                 0.6206,                0.68591,                0.26954,                 0.3983,                 1.0075,                 1.6488,              0.0095298,              0.0095298,              0.0095298
                     21,                0.38217,                0.87208,                 1.3704,                  0.655,                 0.6504,                0.72303,                0.32801,                0.36471,                0.94297,                 1.5639,               0.009505,               0.009505,               0.009505
                     22,                0.37935,                0.87122,                 1.3529,                0.66966,                0.66525,                0.72969,                0.31348,                0.37337,                0.87369,                 1.6054,              0.0094803,              0.0094803,              0.0094803
                     23,                0.35889,                0.89183,                 1.3503,                0.67823,                0.66386,                0.74165,                0.31455,                0.36446,                0.85026,                 1.5674,              0.0094555,              0.0094555,              0.0094555
                     24,                0.35846,                0.81721,                 1.3211,                0.77026,                0.68103,                0.77477,                0.26208,                0.41344,                0.77611,                 1.7319,              0.0094307,              0.0094307,              0.0094307
                     25,                0.35845,                0.83194,                 1.3586,                0.76201,                0.67997,                0.77769,                0.32581,                0.36376,                 0.8362,                 1.5496,               0.009406,               0.009406,               0.009406
                     26,                0.35726,                0.83012,                 1.3133,                0.66193,                 0.7156,                0.74573,                0.28764,                0.38888,                0.81952,                 1.5968,              0.0093813,              0.0093813,              0.0093813
                     27,                0.36936,                 0.7996,                 1.3242,                0.70639,                0.70808,                0.77947,                0.25217,                 0.4298,                0.83155,                 1.7263,              0.0093565,              0.0093565,              0.0093565
                     28,                 0.3405,                0.80824,                 1.3048,                0.73914,                0.59362,                0.71849,                 0.3187,                0.35615,                0.86112,                 1.5258,              0.0093317,              0.0093317,              0.0093317
                     29,                0.33412,                0.77574,                  1.291,                0.74281,                0.67741,                0.77593,                0.37701,                0.33516,                0.71592,                 1.4759,               0.009307,               0.009307,               0.009307
                     30,                0.35584,                0.76568,                  1.305,                 0.6622,                0.65876,                0.72491,                0.34601,                0.34823,                0.78256,                  1.541,              0.0092823,              0.0092823,              0.0092823
                     31,                0.34665,                0.78133,                 1.2957,                0.73515,                0.69994,                0.78522,                0.31961,                0.36361,                0.74945,                 1.5902,              0.0092575,              0.0092575,              0.0092575
                     32,                0.34182,                 0.7264,                  1.303,                 0.6949,                0.63939,                0.74696,                0.36664,                0.34633,                0.78555,                 1.5144,              0.0092327,              0.0092327,              0.0092327
                     33,                0.33323,                0.75922,                 1.2684,                0.72215,                0.64773,                 0.7611,                0.38299,                0.34032,                0.73674,                 1.4992,               0.009208,               0.009208,               0.009208
                     34,                0.31502,                0.74249,                 1.2506,                0.76648,                0.71532,                0.79404,                0.38266,                0.32661,                0.71663,                 1.4621,              0.0091833,              0.0091833,              0.0091833
