                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.6353,                 2.8058,                 2.9198,                0.01212,                0.15963,                0.02343,                0.00801,                0.88657,                  3.246,                 2.6559,               0.070345,               0.003295,               0.003295
                      2,                0.67043,                 1.8841,                 2.0579,                0.15366,                0.30111,                0.11782,                 0.0351,                0.65203,                 2.0715,                 2.1194,               0.040328,              0.0066119,              0.0066119
                      3,                  0.595,                 1.7273,                  1.823,                 0.1967,                0.36915,                0.17661,                0.06529,                0.48815,                 1.6663,                  1.896,               0.010296,              0.0099124,              0.0099124
                      4,                 0.5169,                 1.7329,                 1.6579,                0.22642,                0.37701,                0.23074,                0.09003,                   0.46,                 1.6827,                 1.8034,              0.0099258,              0.0099258,              0.0099258
                      5,                0.48023,                 1.6226,                 1.5864,                0.43257,                0.35126,                0.33912,                0.11441,                0.45498,                 1.3209,                   1.77,               0.009901,               0.009901,               0.009901
                      6,                0.44282,                 1.4843,                 1.4726,                0.47232,                0.42148,                0.40624,                0.16554,                0.38448,                 1.5198,                 1.6092,              0.0098763,              0.0098763,              0.0098763
                      7,                0.42781,                 1.3645,                 1.4444,                0.56368,                0.42124,                0.46752,                 0.1817,                0.39583,                 1.1516,                 1.5904,              0.0098515,              0.0098515,              0.0098515
                      8,                0.41905,                 1.2939,                 1.4054,                0.48988,                0.52732,                0.50205,                0.22119,                0.34891,                 1.2611,                 1.5097,              0.0098268,              0.0098268,              0.0098268
                      9,                0.38232,                 1.2076,                 1.3381,                0.54539,                 0.5398,                0.52301,                0.17911,                0.40933,                 1.2061,                 1.6424,               0.009802,               0.009802,               0.009802
                     10,                0.39573,                 1.2082,                 1.3408,                0.60622,                0.56941,                 0.5752,                0.20086,                0.36999,                 1.3118,                 1.6427,              0.0097773,              0.0097773,              0.0097773
                     11,                0.35716,                 1.1689,                 1.2962,                0.55018,                0.58312,                  0.588,                 0.2675,                0.31948,                 1.1393,                 1.4168,              0.0097525,              0.0097525,              0.0097525
                     12,                0.36598,                 1.1108,                 1.2787,                0.60179,                0.58167,                0.58866,                0.20874,                0.37772,                0.93991,                 1.5647,              0.0097278,              0.0097278,              0.0097278
                     13,                0.35897,                 1.0599,                 1.2785,                0.61173,                0.59022,                0.62782,                  0.308,                0.31199,                 0.9535,                 1.3968,               0.009703,               0.009703,               0.009703
                     14,                0.36007,                 1.0244,                 1.2553,                0.66754,                 0.6164,                0.68428,                0.32981,                0.29289,                0.87077,                 1.3517,              0.0096783,              0.0096783,              0.0096783
                     15,                0.33644,                0.98598,                 1.2438,                 0.6478,                0.58907,                0.63799,                0.29961,                0.31187,                0.84822,                 1.4054,              0.0096535,              0.0096535,              0.0096535
                     16,                0.33182,                0.99397,                 1.2309,                0.63703,                0.61177,                0.65479,                 0.3264,                0.29799,                0.84745,                 1.3483,              0.0096288,              0.0096288,              0.0096288
                     17,                0.33349,                 0.9615,                 1.2218,                0.64917,                0.63884,                0.68515,                0.28433,                 0.3159,                0.82993,                 1.4297,               0.009604,               0.009604,               0.009604
                     18,                0.31448,                0.93952,                 1.1925,                0.63807,                0.62249,                0.66684,                0.32207,                0.28532,                0.82296,                  1.342,              0.0095793,              0.0095793,              0.0095793
                     19,                0.32258,                0.93647,                 1.1919,                0.67116,                 0.6339,                0.70195,                0.29888,                0.30661,                 0.8115,                 1.3893,              0.0095545,              0.0095545,              0.0095545
                     20,                 0.3086,                0.91151,                 1.1688,                0.69985,                0.64939,                0.71221,                0.36722,                0.27548,                0.77498,                 1.2922,              0.0095298,              0.0095298,              0.0095298
                     21,                0.30858,                 0.9193,                 1.1676,                0.60949,                0.58888,                0.63914,                 0.3136,                0.33956,                0.89288,                  1.439,               0.009505,               0.009505,               0.009505
                     22,                0.31953,                0.90585,                  1.176,                0.67817,                0.62789,                0.71572,                0.35785,                 0.2629,                0.81667,                 1.2741,              0.0094803,              0.0094803,              0.0094803
                     23,                 0.3067,                0.87198,                 1.1545,                0.67521,                0.68967,                0.73335,                0.38484,                0.25615,                0.73667,                 1.2533,              0.0094555,              0.0094555,              0.0094555
                     24,                0.30224,                0.85921,                 1.1498,                0.67298,                0.68759,                0.74111,                0.38217,                0.26881,                0.79026,                 1.2736,              0.0094307,              0.0094307,              0.0094307
